Predicted_Price,Loss_Profit,Current_Price,Coin_Name,Date
29267.988,87.41016,29180.578125,BTC,2023-08-08
213101.86,183921.28,29180.578125,BTC,2023-08-09
271143.84,241963.27,29180.578125,BTC,2023-08-10
265386.8,236206.23,29180.578125,BTC,2023-08-11
311401.1,282220.5,29180.578125,BTC,2023-08-12
243912.73,214732.16,29180.578125,BTC,2023-08-13
155052.78,125872.2,29180.578125,BTC,2023-08-14
13625.965,-15554.613,29180.578125,BTC,2023-08-15
13625.965,-15554.613,29180.578125,BTC,2023-08-16
13625.965,-15554.613,29180.578125,BTC,2023-08-17
7105.5356,-22075.043,29180.578125,BTC,2023-08-18
13625.965,-15554.613,29180.578125,BTC,2023-08-19
134524.95,105344.375,29180.578125,BTC,2023-08-20
190482.56,161301.98,29180.578125,BTC,2023-08-21
183267.61,154087.03,29180.578125,BTC,2023-08-22
318336.94,289156.38,29180.578125,BTC,2023-08-23
330429.28,301248.7,29180.578125,BTC,2023-08-24
264296.4,235115.83,29180.578125,BTC,2023-08-25
128652.33,99471.75,29180.578125,BTC,2023-08-26
13625.965,-15554.613,29180.578125,BTC,2023-08-27
13625.965,-15554.613,29180.578125,BTC,2023-08-28
13625.965,-15554.613,29180.578125,BTC,2023-08-29
7105.5356,-22075.043,29180.578125,BTC,2023-08-30
13625.965,-15554.613,29180.578125,BTC,2023-08-31
13623.132,-15557.446,29180.578125,BTC,2023-09-01
134486.64,105306.06,29180.578125,BTC,2023-09-02
250963.22,221782.64,29180.578125,BTC,2023-09-03
276288.0,247107.42,29180.578125,BTC,2023-09-04
308954.9,279774.3,29180.578125,BTC,2023-09-05
317409.84,288229.25,29180.578125,BTC,2023-09-06
